sample_id,OC
284739,4.32
284740,1.86
284741,1.7
284742,2.38
284743,1.81
284744,2.29
284745,1.88
284746,2.89
284747,2.39
284748,2.38
284749,2.09
284750,12.37
284751,9.86
284752,9.21
284753,9.19
284754,5.89
284755,10.98
284756,9.22
284757,7.71
284758,4.29
284759,12.41
284760,10.51
284761,10.35
284762,7.67
284763,14.82
284764,10.19
284765,8.49
284766,8.1
284767,5.32
284768,14.41
284769,10.61
284770,7.99
284771,5.72
284772,2.79
284773,2.66
284774,4.7
284775,4.7
284776,4.57
284777,5.44
284778,4.71
284779,4.68
284780,3.9
284781,3.98
284782,3.74
284783,3.13
284784,3.03
284785,5.71
284786,5.12
284787,5.4
284788,5.26
284789,3.65
284790,3.6
284791,4.96
284792,4.11
284793,3.99
284794,5.6
284795,5.87
284796,5.41
284797,5.04
284798,4.87
284799,4.27
284800,32.43
284801,7.78
284802,4.14
284803,8.4
284804,7.19
284805,6.01
284806,6.68
284807,6.49
284808,2.77
284809,1.56
284810,2.27
284811,1.89
284812,1.21
284813,3.81
284814,1.76
284815,2.1
284816,2.95
284817,1.64
284818,1.58
284819,3.33
284820,2.5
284821,3.47
284822,2.72
284823,2.56
284824,1.19
284825,3.28
284826,2.33
284827,2.32
284828,1.33
284829,3.75
284830,2.48
284831,3.72
284832,2.92
284833,3.67
284834,2.39
284835,1.94
284836,4.9
284837,3.46
284838,2.46
284839,0.94
284840,3.84
284841,3.46
284842,5.23
284843,3.22
284844,3.4
284845,2.18
284846,5.62
284847,4.78
284848,3.19
284849,7.34
284850,3.76
284851,2.49
284852,6.33
284853,3.48
284854,1.73
284855,7.49
284856,4.15
284857,1.18
284858,6.61
284859,4.34
284860,6.19
284861,3.81
284862,2.01
284863,6.91
284864,5.81
284865,6.29
284866,2.82
284867,1.43
284868,0.78
284869,0.54
284870,2.71
284871,1.08
284872,0.68
284873,1.8
284874,1.25
284875,1.01
284876,1.97
284877,1.15
284878,0.77
284879,3.64
284880,1.45
284881,1.25
284882,3.86
284883,2.16
284884,1.19
284885,8.07
284886,2.47
284887,2.16
284888,1.62
284889,3.32
284890,1.84
284891,3.86
284892,1.92
284893,3.21
284894,10.33
284895,2.02
284896,13.52
284897,6.23
284898,13.13
284899,2.78
284900,1.69
284901,1.27
284902,6.44
284903,4.71
284904,2.08
284905,11.58
284906,5.37
284907,2.47
284908,8.64
284909,3.12
284910,3.06
284911,1.96
284912,4.04
284913,11.43
284914,2.06
284915,2.62
284916,2.64
284917,1.97
284918,1
284919,3.92
284920,1.68
284921,4.36
284922,2.06
284923,1
284924,3.1
284925,2.08
284926,1.09
284927,3.33
284928,1.83
284929,0.98
284930,19.08
284931,8.68
284932,8.96
284933,24.56
284934,18.33
284935,40.71
284936,24.27
284937,26.98
284938,31.76
284939,5.74
284940,2.95
284941,3.1
284942,0.5
284943,0.38
284944,4.4
284945,3.12
284946,2.73
284947,4.34
284948,2.36
284949,0.61
284950,8.38
284951,2.76
284952,2.04
284953,0.49
284954,3.16
284955,2.18
284956,0.61
284957,0.42
284958,5.61
284959,8.62
284960,6.41
284961,6.26
284962,4.55
284963,6.92
284964,5.13
285283,5.9
285284,4.83
285285,3.88
285286,1.01
285287,0.94
